country;Freq
Afghanistan;4
Albania;37
Algeria;56
Andorra;1
Angola;13
Antigua and Barbuda;4
Argentina;833
Armenia;9
Australia;224
Austria;286
Azerbaijan;5
Barbados;3
Belarus;4
Belgium;231
Belize;1
Benin;15
Bermuda;1
Bolivia;6
Bosnia and Herzegovina;57
Botswana;1
Brazil;788
Bulgaria;12
Burkina Faso;16
Burundi;3
Cameroon;85
Canada;58
Cape Verde;19
Central African Republic;3
Chad;2
Chile;352
China;378
Colombia;570
Comoros;6
Congo;22
Costa Rica;30
Croatia;113
Cuba;4
Curacao;13
Cyprus;8
Czech Republic;93
Denmark;322
Dominican Republic;2
Democratic Republic of the Congo;48
Ecuador;28
Egypt;20
El Salvador;5
UK;1475
Equatorial Guinea;5
Eritrea;2
Estonia;12
Ethiopia;1
Faroe Islands;5
Fiji;1
Finland;64
France;853
FYR Macedonia;19
Gabon;14
Gambia;13
Georgia;25
Germany;1151
Ghana;102
Greece;98
Grenada;1
Guam;1
Guatemala;3
Guinea;30
Guinea Bissau;14
Guyana;3
Haiti;10
Honduras;15
Hong Kong;2
Hungary;21
Iceland;34
Indonesia;1
Iran;17
Iraq;6
Israel;13
Italy;579
Ivory Coast;83
Jamaica;32
Japan;455
Jordan;1
Kazakhstan;4
Kenya;10
North Korea;3
Republic of Korea;315
Kosovo;32
Kuwait;1
Latvia;6
Lebanon;1
Liberia;1
Libya;4
Liechtenstein;3
Lithuania;8
Luxembourg;6
Madagascar;12
Mali;38
Mauritania;3
Mauritius;1
Mexico;332
Moldova;5
Montenegro;20
Montserrat;4
Morocco;79
Mozambique;4
Namibia;3
Netherlands;426
New Caledonia;1
New Zealand;34
Nicaragua;1
Niger;3
Nigeria;109
Northern Ireland;70
Norway;333
Oman;1
Palestine;1
Panama;15
Paraguay;59
Peru;26
Philippines;2
Poland;334
Portugal;290
Puerto Rico;1
Qatar;1
Ireland;344
Romania;38
Russia;67
Rwanda;1
Sao Tome and Principe;1
Saudi Arabia;313
Scotland;269
Senegal;114
Serbia;116
Sierra Leone;6
Slovakia;50
Slovenia;48
South Africa;55
South Sudan;1
Spain;974
St Kitts and Nevis;3
Sudan;3
Suriname;4
Sweden;384
Switzerland;205
Syria;9
Tanzania;3
Thailand;5
Togo;11
Trinidad and Tobago;3
Tunisia;29
Turkey;293
Uganda;6
Ukraine;72
United Arab Emirates;1
United States;336
Uruguay;133
Uzbekistan;2
Venezuela;52
Wales;116
Zambia;9
Zimbabwe;13
