,Name,Age,Nationality,Overall,Potential,Value,Wage,Preferred.Foot,Weak.Foot,Skill.Moves,Position,Contract.Valid.Until,Height,Weight,Release.Clause,Meter,Kilo
0,L. Messi,31,Argentina,94,94,110500000,565000,Left,A,A,RF,2021,5.7,159,226500000,1.7,72.1
1,Cristiano Ronaldo,33,Portugal,94,94,77000000,405000,Right,A,S,ST,2022,6.2,183,127100000,1.88,83.0
2,Neymar Jr,26,Brazil,92,93,118500000,290000,Right,S,S,LW,2022,5.9,150,228100000,1.75,68.0
3,De Gea,27,Spain,91,93,72000000,260000,Right,B,D,GK,2020,6.4,168,138600000,1.93,76.2
4,K. De Bruyne,27,Belgium,91,92,102000000,355000,Right,S,A,RCM,2023,5.11,154,196400000,1.8,69.9
5,E. Hazard,27,Belgium,91,91,93000000,340000,Right,A,A,LF,2020,5.8,163,172100000,1.73,73.9
6,L. Modrić,32,Croatia,91,91,67000000,420000,Right,A,A,RCM,2020,5.8,146,137400000,1.73,66.2
7,L. Suárez,31,Uruguay,91,91,80000000,455000,Right,A,B,RS,2021,6.0,190,164000000,1.83,86.2
8,Sergio Ramos,32,Spain,91,91,51000000,380000,Right,B,B,RCB,2020,6.0,181,104600000,1.83,82.1
9,J. Oblak,25,Slovenia,90,93,68000000,94000,Right,B,D,GK,2021,6.2,192,144500000,1.88,87.1
10,R. Lewandowski,29,Poland,90,90,77000000,205000,Right,A,A,ST,2021,6.0,176,127100000,1.83,79.8
11,T. Kroos,28,Germany,90,90,76500000,355000,Right,S,B,LCM,2022,6.0,168,156800000,1.83,76.2
12,D. Godín,32,Uruguay,90,90,44000000,125000,Right,B,C,CB,2019,6.2,172,90200000,1.88,78.0
13,David Silva,32,Spain,90,90,60000000,285000,Left,C,A,LCM,2020,5.8,148,111000000,1.73,67.1
14,N. Kanté,27,France,89,90,63000000,225000,Right,B,C,LDM,2023,5.6,159,121300000,1.68,72.1
15,P. Dybala,24,Argentina,89,94,89000000,205000,Left,B,A,LF,2022,5.10,165,153500000,1.78,74.8
16,H. Kane,24,England,89,91,83500000,205000,Right,A,B,ST,2024,6.2,196,160700000,1.88,88.9
17,A. Griezmann,27,France,89,90,78000000,145000,Left,B,A,CAM,2023,5.9,161,165800000,1.75,73.0
18,M. ter Stegen,26,Germany,89,92,58000000,240000,Right,A,D,GK,2022,6.2,187,123300000,1.88,84.8
19,T. Courtois,26,Belgium,89,90,53500000,240000,Left,C,D,GK,2024,6.6,212,113700000,1.98,96.2
20,Sergio Busquets,29,Spain,89,89,51500000,315000,Right,B,B,CDM,2023,6.2,168,105600000,1.88,76.2
21,E. Cavani,31,Uruguay,89,89,60000000,200000,Right,A,B,LS,2020,6.1,170,111000000,1.85,77.1
22,M. Neuer,32,Germany,89,89,38000000,130000,Right,A,D,GK,2021,6.4,203,62700000,1.93,92.1
23,S. Agüero,30,Argentina,89,89,64500000,300000,Right,A,A,ST,2021,5.8,154,119300000,1.73,69.9
24,G. Chiellini,33,Italy,89,89,27000000,215000,Left,B,C,LCB,2020,6.2,187,44600000,1.88,84.8
25,K. Mbappé,19,France,88,95,81000000,100000,Right,A,S,RM,2022,5.10,161,166100000,1.78,73.0
26,M. Salah,26,Egypt,88,89,69500000,255000,Left,B,A,RM,2023,5.9,157,137300000,1.75,71.2
27,Casemiro,26,Brazil,88,90,59500000,285000,Right,B,C,CDM,2021,6.1,185,126400000,1.85,83.9
29,L. Insigne,27,Italy,88,88,62000000,165000,Right,B,A,LW,2022,5.4,130,105400000,1.63,59.0
30,Isco,26,Spain,88,91,73500000,315000,Right,B,A,LW,2022,5.9,174,156200000,1.75,78.9
31,C. Eriksen,26,Denmark,88,91,73500000,205000,Right,S,A,CAM,2020,5.11,168,141500000,1.8,76.2
32,Coutinho,26,Brazil,88,89,69500000,340000,Right,A,S,LW,2023,5.8,150,147700000,1.73,68.0
33,P. Aubameyang,29,Gabon,88,88,59000000,265000,Right,A,A,LM,2021,6.2,176,112100000,1.88,79.8
34,M. Hummels,29,Germany,88,88,46000000,160000,Right,B,B,LCB,2021,6.3,203,75900000,1.91,92.1
35,Marcelo,30,Brazil,88,88,43000000,285000,Left,A,S,LB,2022,5.9,176,88200000,1.75,79.8
36,G. Bale,28,Wales,88,88,60000000,355000,Left,B,A,ST,2022,6.1,181,123000000,1.85,82.1
37,H. Lloris,31,France,88,88,36000000,150000,Left,D,D,GK,2022,6.2,181,66600000,1.88,82.1
39,Thiago Silva,33,Brazil,88,88,24000000,165000,Right,B,C,RCB,2020,6.0,181,44400000,1.83,82.1
40,S. Handanovič,33,Slovenia,88,88,30000000,110000,Right,C,D,GK,2021,6.4,203,51000000,1.93,92.1
41,G. Buffon,40,Italy,88,88,4000000,77000,Right,C,D,GK,2019,6.4,203,7400000,1.93,92.1
42,S. Umtiti,24,France,87,92,57000000,205000,Left,B,C,CB,2023,6.0,165,121100000,1.83,74.8
43,M. Icardi,25,Argentina,87,90,64500000,130000,Right,A,B,ST,2021,5.11,165,114500000,1.8,74.8
44,K. Koulibaly,27,Senegal,87,90,51000000,115000,Right,B,C,LCB,2021,6.2,196,90500000,1.88,88.9
45,P. Pogba,25,France,87,91,64000000,210000,Right,A,S,RDM,2021,6.4,185,123200000,1.93,83.9
46,K. Navas,31,Costa Rica,87,87,30500000,195000,Right,B,D,GK,2020,6.1,176,62500000,1.85,79.8
47,R. Lukaku,25,Belgium,87,89,62500000,230000,Left,B,B,ST,2022,6.3,207,120300000,1.91,93.9
48,C. Immobile,28,Italy,87,87,52000000,115000,Right,A,B,ST,2023,6.1,187,88400000,1.85,84.8
49,Jordi Alba,29,Spain,87,87,38000000,250000,Left,B,B,LB,2020,5.7,150,77900000,1.7,68.0
50,D. Mertens,31,Belgium,87,87,45000000,135000,Right,A,A,RF,2020,5.7,134,76500000,1.7,60.8
51,J. Vertonghen,31,Belgium,87,87,34000000,155000,Left,B,B,LCB,2019,6.2,190,62900000,1.88,86.2
52,M. Hamšík,30,Slovakia,87,87,46500000,125000,Right,S,B,LCM,2020,6.0,174,79100000,1.83,78.9
53,I. Rakitić,30,Croatia,87,87,46500000,260000,Right,B,B,RCM,2021,6.0,172,95300000,1.83,78.0
54,Piqué,31,Spain,87,87,34000000,240000,Right,B,C,RCB,2022,6.4,187,69700000,1.93,84.8
55,L. Sané,22,Germany,86,92,61000000,195000,Left,B,A,LW,2021,6.0,165,125100000,1.83,74.8
56,Bernardo Silva,23,Portugal,86,91,59500000,180000,Left,B,A,RW,2022,5.8,141,114500000,1.73,64.0
57,Ederson,24,Brazil,86,90,41500000,125000,Left,B,D,GK,2025,6.2,190,79900000,1.88,86.2
58,S. Mané,26,Senegal,86,87,52000000,195000,Right,A,A,LM,2023,5.9,152,102700000,1.75,68.9
59,V. van Dijk,26,Netherlands,86,88,44500000,165000,Right,B,C,LCB,2023,6.4,203,87900000,1.93,92.1
60,R. Sterling,23,England,86,89,56500000,195000,Right,B,A,RW,2023,5.7,152,108800000,1.7,68.9
61,Roberto Firmino,26,Brazil,86,87,53000000,195000,Right,A,A,CAM,2023,5.11,168,104700000,1.8,76.2
62,R. Varane,25,France,86,91,50000000,210000,Right,B,C,RCB,2022,6.3,179,106300000,1.91,81.2
63,M. Verratti,25,Italy,86,89,55000000,135000,Right,A,A,LCM,2021,5.5,132,105900000,1.65,59.9
64,Alex Sandro,27,Brazil,86,86,36500000,160000,Left,B,B,LB,2020,5.11,176,60200000,1.8,79.8
