,Name,Age,Nationality,Overall,Potential,Value,Wage,Preferred.Foot,Weak.Foot,Skill.Moves,Position,Contract.Valid.Until,Height,Weight,Release.Clause,pac,shot,pas,dri,deff,phy,Meter,Kilo
0,L. Messi,31,Argentina,94,94,110500000,565000,Left,A,A,RF,2021,5.7,159,226500000,88,88,90,95,35,61,1.7,72.1
1,Cristiano Ronaldo,33,Portugal,94,94,77000000,405000,Right,A,S,ST,2022,6.2,183,127100000,90,91,80,88,40,81,1.88,83.0
2,Neymar Jr,26,Brazil,92,93,118500000,290000,Right,S,S,LW,2022,5.9,150,228100000,92,83,83,93,36,61,1.75,68.0
3,De Gea,27,Spain,91,93,72000000,260000,Right,B,D,GK,2020,6.4,168,138600000,57,20,37,53,20,53,1.93,76.2
4,K. De Bruyne,27,Belgium,91,92,102000000,355000,Right,S,A,RCM,2023,5.11,154,196400000,77,85,89,85,58,76,1.8,69.9
5,E. Hazard,27,Belgium,91,91,93000000,340000,Right,A,A,LF,2020,5.8,163,172100000,91,83,84,93,37,64,1.73,73.9
6,L. Modrić,32,Croatia,91,91,67000000,420000,Right,A,A,RCM,2020,5.8,146,137400000,76,78,87,90,69,69,1.73,66.2
7,L. Suárez,31,Uruguay,91,91,80000000,455000,Right,A,B,RS,2021,6.0,190,164000000,80,88,79,86,52,82,1.83,86.2
8,Sergio Ramos,32,Spain,91,91,51000000,380000,Right,B,B,RCB,2020,6.0,181,104600000,75,66,71,76,90,87,1.83,82.1
9,J. Oblak,25,Slovenia,90,93,68000000,94000,Right,B,D,GK,2021,6.2,192,144500000,51,13,27,50,18,57,1.88,87.1
10,R. Lewandowski,29,Poland,90,90,77000000,205000,Right,A,A,ST,2021,6.0,176,127100000,77,88,75,84,43,81,1.83,79.8
11,T. Kroos,28,Germany,90,90,76500000,355000,Right,S,B,LCM,2022,6.0,168,156800000,63,81,88,81,71,59,1.83,76.2
12,D. Godín,32,Uruguay,90,90,44000000,125000,Right,B,C,CB,2019,6.2,172,90200000,68,49,59,68,89,83,1.88,78.0
13,David Silva,32,Spain,90,90,60000000,285000,Left,C,A,LCM,2020,5.8,148,111000000,67,78,85,91,49,62,1.73,67.1
14,N. Kanté,27,France,89,90,63000000,225000,Right,B,C,LDM,2023,5.6,159,121300000,80,64,68,85,82,84,1.68,72.1
15,P. Dybala,24,Argentina,89,94,89000000,205000,Left,B,A,LF,2022,5.10,165,153500000,85,85,84,88,32,67,1.78,74.8
16,H. Kane,24,England,89,91,83500000,205000,Right,A,B,ST,2024,6.2,196,160700000,70,89,77,81,50,81,1.88,88.9
17,A. Griezmann,27,France,89,90,78000000,145000,Left,B,A,CAM,2023,5.9,161,165800000,86,84,81,87,54,76,1.75,73.0
18,M. ter Stegen,26,Germany,89,92,58000000,240000,Right,A,D,GK,2022,6.2,187,123300000,44,16,32,44,16,59,1.88,84.8
19,T. Courtois,26,Belgium,89,90,53500000,240000,Left,C,D,GK,2024,6.6,212,113700000,49,19,27,48,16,49,1.98,96.2
20,Sergio Busquets,29,Spain,89,89,51500000,315000,Right,B,B,CDM,2023,6.2,168,105600000,51,60,75,77,82,78,1.88,76.2
21,E. Cavani,31,Uruguay,89,89,60000000,200000,Right,A,B,LS,2020,6.1,170,111000000,75,87,71,78,54,85,1.85,77.1
22,M. Neuer,32,Germany,89,89,38000000,130000,Right,A,D,GK,2021,6.4,203,62700000,57,20,37,53,18,57,1.93,92.1
23,S. Agüero,30,Argentina,89,89,64500000,300000,Right,A,A,ST,2021,5.8,154,119300000,84,87,75,89,32,73,1.73,69.9
24,G. Chiellini,33,Italy,89,89,27000000,215000,Left,B,C,LCB,2020,6.2,187,44600000,69,47,52,65,89,83,1.88,84.8
25,K. Mbappé,19,France,88,95,81000000,100000,Right,A,S,RM,2022,5.10,161,166100000,96,80,75,88,43,72,1.78,73.0
26,M. Salah,26,Egypt,88,89,69500000,255000,Left,B,A,RM,2023,5.9,157,137300000,92,79,76,89,47,71,1.75,71.2
27,Casemiro,26,Brazil,88,90,59500000,285000,Right,B,C,CDM,2021,6.1,185,126400000,62,68,71,73,85,87,1.85,83.9
29,L. Insigne,27,Italy,88,88,62000000,165000,Right,B,A,LW,2022,5.4,130,105400000,90,75,83,89,35,51,1.63,59.0
30,Isco,26,Spain,88,91,73500000,315000,Right,B,A,LW,2022,5.9,174,156200000,72,75,83,88,58,62,1.75,78.9
